order_id,order_date,order_status,payment_status,seller_id,item_id,line_item_id,title,quantity,line_item_price,order_total,delivery_cost,total_due_seller,currency
19-14807-28725,2026-06-27 00:38:42+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082865601219,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
11-14823-26280,2026-06-27 19:14:33+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083020056911,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.32,USD
12-14831-97463,2026-06-30 03:31:18+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083044161112,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.34,USD
02-14878-40265,2026-07-06 22:57:02+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082459427402,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.35,USD
19-14863-12551,2026-07-10 06:48:54+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083184801019,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.37,USD
20-14879-06463,2026-07-14 15:35:07+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082306989120,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.26,USD
03-14918-84108,2026-07-17 00:53:10+00:00,FULFILLED,PAID,luxmielstore,227307906290,10083298256003,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,1,13.99,13.99,0.0,11.34,USD
19-14895-36753,2026-07-18 00:53:42+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083368952519,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
22-14891-06092,2026-07-18 06:23:56+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082650446422,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.34,USD
23-14906-06578,2026-07-22 02:02:52+00:00,FULFILLED,PAID,luxmielstore,227307906290,10082699254423,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,1,13.99,13.99,0.0,11.23,USD
18-14915-56774,2026-07-22 09:29:24+00:00,FULFILLED,PAID,luxmielstore,226991664030,10086523597418,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,12.59,12.59,0.0,10.06,USD
12-14929-89342,2026-07-23 05:02:56+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083603117412,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.33,USD
09-14936-25282,2026-07-23 14:03:38+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082545752809,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
04-14950-47264,2026-07-24 18:26:05+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083176125404,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.31,USD
23-14918-58083,2026-07-25 00:37:32+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082769718323,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.27,USD
22-14924-58911,2026-07-26 05:31:12+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082841484422,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.23,USD
26-14927-46065,2026-07-28 11:42:00+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082465770626,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.34,USD
25-14930-45557,2026-07-28 16:49:58+00:00,FULFILLED,PAID,luxmielstore,227307906290,10082478240325,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,2,27.98,25.18,0.0,20.61,USD
10-14959-20298,2026-07-29 08:51:31+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083738668810,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.27,USD
04-14977-49006,2026-07-30 23:29:23+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083330588304,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.34,USD
11-14966-82750,2026-07-31 12:40:45+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083841404911,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.31,USD
08-14973-07387,2026-07-31 17:30:30+00:00,NOT_STARTED,FULLY_REFUNDED,luxmielstore,226991664030,10082819593808,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,12.59,12.59,0.0,-0.4,USD
20-14955-83370,2026-08-01 16:11:42+00:00,FULFILLED,PAID,luxmielstore,226991664030,10082744309420,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,2,27.98,25.18,0.0,20.97,USD
04-14999-99773,2026-08-05 01:25:14+00:00,FULFILLED,PAID,luxmielstore,226991664030,10083459536504,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
17-14999-93682,2026-08-10 11:51:47+00:00,FULFILLED,PAID,luxmielstore,227307906290,10083992085717,Divine Drops Rosemary Mint Scalp & Hair Oil 2oz w/ Biotin – Hair Growth & Streng,1,13.99,13.99,0.0,11.47,USD
14-15007-31278,2026-08-10 19:51:08+00:00,FULFILLED,PAID,luxmielstore,226991664030,10084008109914,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
27-14999-45483,2026-08-14 03:19:36+00:00,FULFILLED,PAID,luxmielstore,226991664030,10087237097027,Rosemary Mint Hair Oil for Hair Growth Scalp Treatment Biotin Strengthening Hair,1,13.99,13.99,0.0,11.47,USD
